gnd_id,urbanity
8127240,Rural
8130245,Rural
8119040,Rural
8142095,Rural
8127265,Rural
8118130,Rural
8142185,Rural
8124170,Rural
8133130,Rural
8130200,Rural
8127045,Rural
8121040,Rural
8127315,Rural
8109085,Rural
8112020,Rural
8119105,Rural
8127320,Rural
8130065,Rural
8124025,Rural
8109100,Rural
8139085,Rural
8136100,Rural
8127160,Rural
8109005,Rural
8139005,Rural
8127340,Rural
8127310,Rural
8130045,Rural
8106195,Rural
8103165,Rural
8115085,Rural
8103100,Rural
8136135,Rural
8103120,Rural
8139050,Rural
8112095,Rural
8130205,Rural
8133095,Rural
8106200,Rural
8133155,Rural
8136065,Rural
8130310,Rural
8106175,Rural
8130265,Rural
8106065,Rural
8103160,Rural
8127330,Rural
8127300,Rural
8133120,Rural
8130015,Rural
8127170,Rural
8130110,Rural
8119120,Rural
8121105,Rural
8124145,Rural
8130210,Rural
8103020,Rural
8142195,Rural
8127165,Rural
8130095,Rural
8124015,Rural
8136020,Rural
8106050,Rural
8127275,Rural
8103135,Rural
8124110,Rural
8127075,Rural
8139105,Rural
8106190,Rural
8127080,Rural
8127215,Rural
8133165,Rural
8121100,Rural
8136090,Rural
8109045,Rural
8115090,Rural
8139015,Rural
8139045,Rural
8142070,Rural
8106105,Rural
8142040,Rural
8112030,Rural
8127005,Rural
8130295,Rural
8106055,Rural
8124100,Rural
8112090,Rural
8142190,Rural
8124265,Rural
8112040,Rural
8130240,Rural
8130020,Rural
8142100,Rural
8112045,Rural
8106150,Rural
8124020,Rural
8118110,Rural
8118120,Rural
8103015,Rural
8127110,Rural
8127095,Rural
8109090,Rural
8127030,Rural
8115035,Rural
8124050,Rural
8124225,Rural
8124035,Rural
8115030,Rural
8106030,Rural
8103045,Rural
8121045,Rural
8130085,Rural
8119095,Rural
8139020,Rural
8130275,Rural
8109060,Rural
8112010,Rural
8121055,Rural
8133030,Rural
8127260,Rural
8112050,Rural
8109010,Rural
8130220,Rural
8127270,Rural
8106160,Rural
8142155,Rural
8142075,Rural
8103105,Rural
8130285,Rural
8118205,Rural
8119060,Rural
8127010,Rural
8127060,Rural
8124165,Rural
8112005,Rural
8127120,Rural
8133145,Rural
8103145,Rural
8115115,Rural
8106045,Rural
8103175,Rural
8118020,Rural
8103065,Rural
8142105,Rural
8119055,Rural
8136120,Rural
8130290,Rural
8119015,Rural
8118195,Rural
8130070,Rural
8119085,Rural
8127130,Rural
8112035,Rural
8130190,Rural
8124160,Rural
8142160,Rural
8109035,Rural
8130280,Rural
8112075,Rural
8115075,Rural
8119140,Rural
8118030,Rural
8124055,Rural
8124075,Rural
8121030,Rural
8103035,Rural
8103150,Rural
8115065,Rural
8124150,Rural
8118125,Rural
8103170,Rural
8103010,Rural
8130140,Rural
8106125,Rural
8133105,Rural
8115015,Rural
8139095,Rural
8112060,Rural
8127325,Rural
8118080,Rural
8127285,Rural
8133010,Rural
8106090,Rural
8127085,Rural
8133025,Rural
8124010,Rural
8109050,Rural
8103025,Rural
8127225,Rural
8142085,Rural
8106010,Rural
8106110,Rural
8142030,Rural
8106135,Rural
8124235,Rural
8124135,Rural
8103060,Rural
8136040,Rural
8142150,Rural
8130180,Rural
8124205,Rural
8142140,Rural
8118050,Rural
8103030,Rural
8124060,Rural
8124080,Rural
8133020,Rural
8119010,Rural
8136110,Rural
8124085,Rural
8139065,Rural
8124045,Rural
8127200,Rural
8106005,Rural
8127090,Rural
8127140,Rural
8133005,Rural
8136080,Rural
8130230,Rural
8136050,Rural
8130235,Rural
8118070,Rural
8118015,Rural
8142170,Rural
8118115,Rural
8106185,Rural
8112125,Rural
8106180,Rural
8130120,Rural
8115080,Rural
8127025,Rural
8133035,Rural
8127185,Rural
8136055,Rural
8127135,Rural
8106170,Rural
8127145,Rural
8130130,Rural
8142110,Rural
8142125,Rural
8133045,Rural
8119005,Rural
8142135,Rural
8118145,Rural
8133100,Rural
8139030,Rural
8133170,Rural
8106040,Rural
8115010,Rural
8130155,Rural
8130005,Rural
8106140,Rural
8142120,Rural
8112065,Rural
8103085,Rural
8115070,Rural
8118010,Rural
8130135,Rural
8139080,Rural
8124245,Rural
8142180,Rural
8118040,Rural
8139035,Rural
8118090,Rural
8103130,Rural
8106165,Rural
8142035,Rural
8109055,Rural
8130255,Rural
8130195,Rural
8127155,Rural
8119050,Rural
8106080,Rural
8142130,Rural
8118085,Rural
8130080,Rural
8130075,Rural
8127205,Rural
8106015,Rural
8130185,Rural
8142090,Rural
8112055,Rural
8103055,Rural
8127245,Rural
8103040,Rural
8103140,Rural
8112015,Rural
8124260,Rural
8103070,Rural
8119025,Rural
8136010,Rural
8106075,Rural
8136030,Rural
8133090,Rural
8121025,Rural
8115005,Rural
8106210,Rural
8124105,Rural
8106115,Rural
8136125,Rural
8127295,Rural
8115020,Rural
8118035,Rural
8115050,Rural
8124195,Rural
8121035,Rural
8115025,Rural
8136140,Rural
8109075,Rural
8124280,Rural
8130250,Rural
8106130,Rural
8127255,Rural
8127020,Rural
8130035,Rural
8124155,Rural
8103080,Rural
8103115,Rural
8109020,Rural
8106095,Rural
8130305,Rural
8124005,Rural
8139055,Rural
8136005,Rural
8127015,Rural
8124255,Rural
8142080,Rural
8127290,Rural
8124215,Rural
8112100,Rural
8115100,Rural
8133125,Rural
8136160,Rural
8103095,Rural
8124250,Rural
8130125,Rural
8136035,Rural
8124185,Rural
8130050,Rural
8112025,Rural
8130225,Rural
8130115,Rural
8142175,Rural
8106025,Rural
8127180,Rural
8103110,Rural
8133080,Rural
8133140,Rural
8130165,Rural
8115110,Rural
8142165,Rural
8119035,Rural
8127210,Rural
8121110,Rural
8136085,Rural
8109095,Rural
8136060,Rural
8106145,Rural
8130300,Rural
8118150,Rural
8139010,Rural
