threshold,precision,recall
420,0.6547619047619048,0.6707317073170732
559,0.5688729874776386,0.775609756097561
699,0.5007153075822603,0.8536585365853658
839,0.4433849821215733,0.9073170731707317
979,0.3983656792645557,0.9512195121951219
1119,0.3574620196604111,0.975609756097561
1259,0.3193010325655282,0.9804878048780488
1398,0.28969957081545067,0.9878048780487805
1538,0.26527958387516254,0.9951219512195122
1678,0.2431466030989273,0.9951219512195122
1818,0.22442244224422442,0.9951219512195122
1958,0.20888661899897856,0.9975609756097561
2098,0.1954242135367016,1.0
2238,0.18319928507596067,1.0
2377,0.17248632730332353,1.0
2517,0.16289233214143822,1.0
2657,0.1543093714715845,1.0
2797,0.1465856274579907,1.0
140,0.8928571428571429,0.3071253071253071
280,0.7607142857142857,0.5233415233415234
420,0.638095238095238,0.6584766584766585
